a,b,lat1,long1,lat2,long2
4,4,26.19,50.5,26.19,50.5
15,4,31.23,34.78,26.19,50.5
4,33,26.19,50.5,6.9,79.91
12,13,28.66,77.13,-6.18,106.77
19,20,29.31,47.96,42.79,74.58
37,17,39.91,32.79,31.9,35.98
3,10,40.41,49.95,35.17,33.33
18,6,51.17,71.34,27.48,89.54
3,5,40.41,49.95,23.8,90.44
36,28,-8.65,125.6,33.7,73.01
32,43,1.29,103.86,#N/A,#N/A
4,39,26.19,50.5,24.44,54.39
35,31,13.72,100.58,24.58,46.71
26,24,27.72,85.32,48.03,106.95
18,42,51.17,71.34,15.4,44.19
7,21,4.88,114.85,33.8,35.52
15,20,31.23,34.78,42.79,74.58
32,20,1.29,103.86,42.79,74.58
28,16,33.7,73.01,35.68,139.68
11,11,41.68,44.8,41.68,44.8
27,35,23.5,58.57,13.72,100.58
34,27,38.6,68.79,23.5,58.57
23,12,4.14,73.46,28.66,77.13
16,39,35.68,139.68,24.44,54.39
25,38,19.75,96.1,37.92,58.41
16,17,35.68,139.68,31.9,35.98
24,9,48.03,106.95,39.92,116.33
32,25,1.29,103.86,19.75,96.1
11,42,41.68,44.8,15.4,44.19
29,37,14.62,121,39.91,32.79
20,6,42.79,74.58,27.48,89.54
39,8,24.44,54.39,11.56,104.9
33,5,6.9,79.91,23.8,90.44
12,32,28.66,77.13,1.29,103.86
39,8,24.44,54.39,11.56,104.9
27,7,23.5,58.57,4.88,114.85
22,14,3.07,101.66,33.37,44.37
25,13,19.75,96.1,-6.18,106.77
9,26,39.92,116.33,27.72,85.32
1,34,34.49,69.17,38.6,68.79
11,43,41.68,44.8,#N/A,#N/A
34,23,38.6,68.79,4.14,73.46
23,2,4.14,73.46,40.18,44.47
38,41,37.92,58.41,21.01,105.8
31,33,24.58,46.71,6.9,79.91
7,37,4.88,114.85,39.91,32.79
14,33,33.37,44.37,6.9,79.91
32,20,1.29,103.86,42.79,74.58
4,10,26.19,50.5,35.17,33.33
33,4,6.9,79.91,26.19,50.5
14,35,33.37,44.37,13.72,100.58
18,5,51.17,71.34,23.8,90.44
42,30,15.4,44.19,25.22,51.5
3,7,40.41,49.95,4.88,114.85
10,38,35.17,33.33,37.92,58.41
23,12,4.14,73.46,28.66,77.13
19,11,29.31,47.96,41.68,44.8
40,39,41.24,69.3,24.44,54.39
4,20,26.19,50.5,42.79,74.58
30,17,25.22,51.5,31.9,35.98
11,5,41.68,44.8,23.8,90.44
21,6,33.8,35.52,27.48,89.54
30,24,25.22,51.5,48.03,106.95
27,15,23.5,58.57,31.23,34.78
26,1,27.72,85.32,34.49,69.17
26,33,27.72,85.32,6.9,79.91
23,40,4.14,73.46,41.24,69.3
31,5,24.58,46.71,23.8,90.44
42,25,15.4,44.19,19.75,96.1
26,21,27.72,85.32,33.8,35.52
15,22,31.23,34.78,3.07,101.66
25,29,19.75,96.1,14.62,121
25,30,19.75,96.1,25.22,51.5
12,11,28.66,77.13,41.68,44.8
4,18,26.19,50.5,51.17,71.34
9,42,39.92,116.33,15.4,44.19
23,38,4.14,73.46,37.92,58.41
29,34,14.62,121,38.6,68.79
17,10,31.9,35.98,35.17,33.33
10,34,35.17,33.33,38.6,68.79
38,15,37.92,58.41,31.23,34.78
9,16,39.92,116.33,35.68,139.68
3,1,40.41,49.95,34.49,69.17
9,23,39.92,116.33,4.14,73.46
3,16,40.41,49.95,35.68,139.68
29,14,14.62,121,33.37,44.37
42,8,15.4,44.19,11.56,104.9
34,25,38.6,68.79,19.75,96.1
27,29,23.5,58.57,14.62,121
2,3,40.18,44.47,40.41,49.95
38,41,37.92,58.41,21.01,105.8
28,37,33.7,73.01,39.91,32.79
17,33,31.9,35.98,6.9,79.91
28,8,33.7,73.01,11.56,104.9
9,32,39.92,116.33,1.29,103.86
13,32,-6.18,106.77,1.29,103.86
32,16,1.29,103.86,35.68,139.68
41,22,21.01,105.8,3.07,101.66
2,14,40.18,44.47,33.37,44.37
29,43,14.62,121,#N/A,#N/A
13,38,-6.18,106.77,37.92,58.41
1,42,34.49,69.17,15.4,44.19
11,19,41.68,44.8,29.31,47.96
35,39,13.72,100.58,24.44,54.39
14,16,33.37,44.37,35.68,139.68
5,15,23.8,90.44,31.23,34.78
2,31,40.18,44.47,24.58,46.71
17,42,31.9,35.98,15.4,44.19
23,35,4.14,73.46,13.72,100.58
36,20,-8.65,125.6,42.79,74.58
41,32,21.01,105.8,1.29,103.86
16,5,35.68,139.68,23.8,90.44
2,16,40.18,44.47,35.68,139.68
21,42,33.8,35.52,15.4,44.19
5,23,23.8,90.44,4.14,73.46
5,14,23.8,90.44,33.37,44.37
9,28,39.92,116.33,33.7,73.01
1,36,34.49,69.17,-8.65,125.6
35,25,13.72,100.58,19.75,96.1
6,15,27.48,89.54,31.23,34.78
6,6,27.48,89.54,27.48,89.54
42,23,15.4,44.19,4.14,73.46
29,25,14.62,121,19.75,96.1
7,36,4.88,114.85,-8.65,125.6
27,30,23.5,58.57,25.22,51.5
21,33,33.8,35.52,6.9,79.91
15,10,31.23,34.78,35.17,33.33
32,31,1.29,103.86,24.58,46.71
21,32,33.8,35.52,1.29,103.86
32,8,1.29,103.86,11.56,104.9
17,43,31.9,35.98,#N/A,#N/A
8,37,11.56,104.9,39.91,32.79
29,35,14.62,121,13.72,100.58
29,43,14.62,121,#N/A,#N/A
29,28,14.62,121,33.7,73.01
38,33,37.92,58.41,6.9,79.91
17,6,31.9,35.98,27.48,89.54
34,24,38.6,68.79,48.03,106.95
19,24,29.31,47.96,48.03,106.95
16,12,35.68,139.68,28.66,77.13
30,39,25.22,51.5,24.44,54.39
19,8,29.31,47.96,11.56,104.9
32,41,1.29,103.86,21.01,105.8
25,29,19.75,96.1,14.62,121
36,12,-8.65,125.6,28.66,77.13
23,41,4.14,73.46,21.01,105.8
13,39,-6.18,106.77,24.44,54.39
40,17,41.24,69.3,31.9,35.98
5,33,23.8,90.44,6.9,79.91
37,25,39.91,32.79,19.75,96.1
9,16,39.92,116.33,35.68,139.68
36,7,-8.65,125.6,4.88,114.85
23,3,4.14,73.46,40.41,49.95
33,16,6.9,79.91,35.68,139.68
5,19,23.8,90.44,29.31,47.96
4,5,26.19,50.5,23.8,90.44
36,26,-8.65,125.6,27.72,85.32
29,39,14.62,121,24.44,54.39
21,23,33.8,35.52,4.14,73.46
22,5,3.07,101.66,23.8,90.44
36,31,-8.65,125.6,24.58,46.71
36,36,-8.65,125.6,-8.65,125.6
15,35,31.23,34.78,13.72,100.58
30,41,25.22,51.5,21.01,105.8
29,21,14.62,121,33.8,35.52
39,2,24.44,54.39,40.18,44.47
12,23,28.66,77.13,4.14,73.46
7,20,4.88,114.85,42.79,74.58
16,23,35.68,139.68,4.14,73.46
27,12,23.5,58.57,28.66,77.13
26,24,27.72,85.32,48.03,106.95
5,30,23.8,90.44,25.22,51.5
15,29,31.23,34.78,14.62,121
30,17,25.22,51.5,31.9,35.98
26,27,27.72,85.32,23.5,58.57
3,35,40.41,49.95,13.72,100.58
21,28,33.8,35.52,33.7,73.01
15,32,31.23,34.78,1.29,103.86
4,40,26.19,50.5,41.24,69.3
34,6,38.6,68.79,27.48,89.54
29,25,14.62,121,19.75,96.1
14,17,33.37,44.37,31.9,35.98
36,8,-8.65,125.6,11.56,104.9
27,16,23.5,58.57,35.68,139.68
11,1,41.68,44.8,34.49,69.17
19,33,29.31,47.96,6.9,79.91
30,16,25.22,51.5,35.68,139.68
26,13,27.72,85.32,-6.18,106.77
19,13,29.31,47.96,-6.18,106.77
38,36,37.92,58.41,-8.65,125.6
39,16,24.44,54.39,35.68,139.68
39,39,24.44,54.39,24.44,54.39
35,3,13.72,100.58,40.41,49.95
2,34,40.18,44.47,38.6,68.79
34,36,38.6,68.79,-8.65,125.6
14,29,33.37,44.37,14.62,121
3,43,40.41,49.95,#N/A,#N/A
32,10,1.29,103.86,35.17,33.33
9,29,39.92,116.33,14.62,121
8,32,11.56,104.9,1.29,103.86
18,21,51.17,71.34,33.8,35.52
4,38,26.19,50.5,37.92,58.41
11,38,41.68,44.8,37.92,58.41
13,10,-6.18,106.77,35.17,33.33
10,4,35.17,33.33,26.19,50.5
42,28,15.4,44.19,33.7,73.01
12,38,28.66,77.13,37.92,58.41
16,37,35.68,139.68,39.91,32.79
38,32,37.92,58.41,1.29,103.86
40,14,41.24,69.3,33.37,44.37
38,37,37.92,58.41,39.91,32.79
15,8,31.23,34.78,11.56,104.9
19,19,29.31,47.96,29.31,47.96
35,23,13.72,100.58,4.14,73.46
3,40,40.41,49.95,41.24,69.3
15,37,31.23,34.78,39.91,32.79
2,15,40.18,44.47,31.23,34.78
9,8,39.92,116.33,11.56,104.9
41,26,21.01,105.8,27.72,85.32
21,26,33.8,35.52,27.72,85.32
20,35,42.79,74.58,13.72,100.58
4,15,26.19,50.5,31.23,34.78
3,14,40.41,49.95,33.37,44.37
38,18,37.92,58.41,51.17,71.34
10,6,35.17,33.33,27.48,89.54
7,2,4.88,114.85,40.18,44.47
36,31,-8.65,125.6,24.58,46.71
30,38,25.22,51.5,37.92,58.41
24,2,48.03,106.95,40.18,44.47
7,15,4.88,114.85,31.23,34.78
41,3,21.01,105.8,40.41,49.95
6,15,27.48,89.54,31.23,34.78
36,23,-8.65,125.6,4.14,73.46
18,26,51.17,71.34,27.72,85.32
18,13,51.17,71.34,-6.18,106.77
31,41,24.58,46.71,21.01,105.8
10,12,35.17,33.33,28.66,77.13
32,33,1.29,103.86,6.9,79.91
13,16,-6.18,106.77,35.68,139.68
18,32,51.17,71.34,1.29,103.86
1,2,34.49,69.17,40.18,44.47
8,5,11.56,104.9,23.8,90.44
14,39,33.37,44.37,24.44,54.39
1,35,34.49,69.17,13.72,100.58
41,20,21.01,105.8,42.79,74.58
7,24,4.88,114.85,48.03,106.95
39,9,24.44,54.39,39.92,116.33
33,18,6.9,79.91,51.17,71.34
33,41,6.9,79.91,21.01,105.8
34,42,38.6,68.79,15.4,44.19
4,4,26.19,50.5,26.19,50.5
34,13,38.6,68.79,-6.18,106.77
15,28,31.23,34.78,33.7,73.01
25,6,19.75,96.1,27.48,89.54
20,23,42.79,74.58,4.14,73.46
28,37,33.7,73.01,39.91,32.79
35,13,13.72,100.58,-6.18,106.77
22,20,3.07,101.66,42.79,74.58
15,30,31.23,34.78,25.22,51.5
32,20,1.29,103.86,42.79,74.58
13,13,-6.18,106.77,-6.18,106.77
7,29,4.88,114.85,14.62,121
1,42,34.49,69.17,15.4,44.19
16,32,35.68,139.68,1.29,103.86
11,22,41.68,44.8,3.07,101.66
40,31,41.24,69.3,24.58,46.71
3,41,40.41,49.95,21.01,105.8
32,41,1.29,103.86,21.01,105.8
15,2,31.23,34.78,40.18,44.47
25,40,19.75,96.1,41.24,69.3
16,15,35.68,139.68,31.23,34.78
29,7,14.62,121,4.88,114.85
1,38,34.49,69.17,37.92,58.41
1,23,34.49,69.17,4.14,73.46
19,29,29.31,47.96,14.62,121
40,7,41.24,69.3,4.88,114.85
16,4,35.68,139.68,26.19,50.5
7,34,4.88,114.85,38.6,68.79
6,36,27.48,89.54,-8.65,125.6
37,1,39.91,32.79,34.49,69.17
28,25,33.7,73.01,19.75,96.1
3,23,40.41,49.95,4.14,73.46
21,20,33.8,35.52,42.79,74.58
12,43,28.66,77.13,#N/A,#N/A
40,2,41.24,69.3,40.18,44.47
41,1,21.01,105.8,34.49,69.17
1,37,34.49,69.17,39.91,32.79
30,40,25.22,51.5,41.24,69.3
6,24,27.48,89.54,48.03,106.95
39,4,24.44,54.39,26.19,50.5
27,5,23.5,58.57,23.8,90.44
10,7,35.17,33.33,4.88,114.85
27,25,23.5,58.57,19.75,96.1
16,17,35.68,139.68,31.9,35.98
30,13,25.22,51.5,-6.18,106.77
15,13,31.23,34.78,-6.18,106.77
10,3,35.17,33.33,40.41,49.95
10,6,35.17,33.33,27.48,89.54
14,41,33.37,44.37,21.01,105.8
6,15,27.48,89.54,31.23,34.78
33,29,6.9,79.91,14.62,121
14,43,33.37,44.37,#N/A,#N/A
13,37,-6.18,106.77,39.91,32.79
14,26,33.37,44.37,27.72,85.32
32,28,1.29,103.86,33.7,73.01
7,4,4.88,114.85,26.19,50.5
34,37,38.6,68.79,39.91,32.79
42,42,15.4,44.19,15.4,44.19
29,26,14.62,121,27.72,85.32
19,38,29.31,47.96,37.92,58.41
4,9,26.19,50.5,39.92,116.33
41,23,21.01,105.8,4.14,73.46
20,32,42.79,74.58,1.29,103.86
35,4,13.72,100.58,26.19,50.5
32,41,1.29,103.86,21.01,105.8
26,28,27.72,85.32,33.7,73.01
4,31,26.19,50.5,24.58,46.71
37,7,39.91,32.79,4.88,114.85
38,36,37.92,58.41,-8.65,125.6
2,5,40.18,44.47,23.8,90.44
19,4,29.31,47.96,26.19,50.5
22,8,3.07,101.66,11.56,104.9
32,4,1.29,103.86,26.19,50.5
6,21,27.48,89.54,33.8,35.52
21,38,33.8,35.52,37.92,58.41
40,24,41.24,69.3,48.03,106.95
41,7,21.01,105.8,4.88,114.85
30,43,25.22,51.5,#N/A,#N/A
27,10,23.5,58.57,35.17,33.33
3,37,40.41,49.95,39.91,32.79
21,13,33.8,35.52,-6.18,106.77
17,8,31.9,35.98,11.56,104.9
12,2,28.66,77.13,40.18,44.47
40,28,41.24,69.3,33.7,73.01
39,36,24.44,54.39,-8.65,125.6
39,41,24.44,54.39,21.01,105.8
14,38,33.37,44.37,37.92,58.41
5,28,23.8,90.44,33.7,73.01
26,10,27.72,85.32,35.17,33.33
34,22,38.6,68.79,3.07,101.66
3,34,40.41,49.95,38.6,68.79
27,23,23.5,58.57,4.14,73.46
26,16,27.72,85.32,35.68,139.68
7,13,4.88,114.85,-6.18,106.77
28,40,33.7,73.01,41.24,69.3
37,37,39.91,32.79,39.91,32.79
20,9,42.79,74.58,39.92,116.33
9,4,39.92,116.33,26.19,50.5
4,6,26.19,50.5,27.48,89.54
21,12,33.8,35.52,28.66,77.13
41,6,21.01,105.8,27.48,89.54
38,15,37.92,58.41,31.23,34.78
36,32,-8.65,125.6,1.29,103.86
27,10,23.5,58.57,35.17,33.33
3,8,40.41,49.95,11.56,104.9
34,13,38.6,68.79,-6.18,106.77
35,30,13.72,100.58,25.22,51.5
28,13,33.7,73.01,-6.18,106.77
36,43,-8.65,125.6,#N/A,#N/A
22,5,3.07,101.66,23.8,90.44
34,41,38.6,68.79,21.01,105.8
2,16,40.18,44.47,35.68,139.68
6,9,27.48,89.54,39.92,116.33
7,14,4.88,114.85,33.37,44.37
26,20,27.72,85.32,42.79,74.58
12,18,28.66,77.13,51.17,71.34
15,23,31.23,34.78,4.14,73.46
34,7,38.6,68.79,4.88,114.85
38,7,37.92,58.41,4.88,114.85
16,24,35.68,139.68,48.03,106.95
25,33,19.75,96.1,6.9,79.91
9,23,39.92,116.33,4.14,73.46
26,33,27.72,85.32,6.9,79.91
7,37,4.88,114.85,39.91,32.79
10,25,35.17,33.33,19.75,96.1
41,4,21.01,105.8,26.19,50.5
27,28,23.5,58.57,33.7,73.01
21,1,33.8,35.52,34.49,69.17
32,30,1.29,103.86,25.22,51.5
9,9,39.92,116.33,39.92,116.33
35,25,13.72,100.58,19.75,96.1
6,18,27.48,89.54,51.17,71.34
16,28,35.68,139.68,33.7,73.01
9,2,39.92,116.33,40.18,44.47
40,33,41.24,69.3,6.9,79.91
41,23,21.01,105.8,4.14,73.46
36,16,-8.65,125.6,35.68,139.68
13,3,-6.18,106.77,40.41,49.95
39,7,24.44,54.39,4.88,114.85
42,30,15.4,44.19,25.22,51.5
36,24,-8.65,125.6,48.03,106.95
10,26,35.17,33.33,27.72,85.32
29,31,14.62,121,24.58,46.71
1,42,34.49,69.17,15.4,44.19
10,7,35.17,33.33,4.88,114.85
19,1,29.31,47.96,34.49,69.17
39,34,24.44,54.39,38.6,68.79
29,20,14.62,121,42.79,74.58
41,12,21.01,105.8,28.66,77.13
34,29,38.6,68.79,14.62,121
2,18,40.18,44.47,51.17,71.34
2,38,40.18,44.47,37.92,58.41
34,42,38.6,68.79,15.4,44.19
32,4,1.29,103.86,26.19,50.5
33,36,6.9,79.91,-8.65,125.6
34,11,38.6,68.79,41.68,44.8
19,13,29.31,47.96,-6.18,106.77
6,24,27.48,89.54,48.03,106.95
7,41,4.88,114.85,21.01,105.8
12,20,28.66,77.13,42.79,74.58
2,28,40.18,44.47,33.7,73.01
23,28,4.14,73.46,33.7,73.01
37,30,39.91,32.79,25.22,51.5
12,20,28.66,77.13,42.79,74.58
41,43,21.01,105.8,#N/A,#N/A
37,42,39.91,32.79,15.4,44.19
34,26,38.6,68.79,27.72,85.32
11,1,41.68,44.8,34.49,69.17
6,2,27.48,89.54,40.18,44.47
28,1,33.7,73.01,34.49,69.17
11,25,41.68,44.8,19.75,96.1
40,10,41.24,69.3,35.17,33.33
27,28,23.5,58.57,33.7,73.01
8,27,11.56,104.9,23.5,58.57
11,12,41.68,44.8,28.66,77.13
42,21,15.4,44.19,33.8,35.52
25,34,19.75,96.1,38.6,68.79
24,6,48.03,106.95,27.48,89.54
20,25,42.79,74.58,19.75,96.1
32,20,1.29,103.86,42.79,74.58
3,17,40.41,49.95,31.9,35.98
12,31,28.66,77.13,24.58,46.71
33,20,6.9,79.91,42.79,74.58
19,20,29.31,47.96,42.79,74.58
15,9,31.23,34.78,39.92,116.33
24,43,48.03,106.95,#N/A,#N/A
36,7,-8.65,125.6,4.88,114.85
8,32,11.56,104.9,1.29,103.86
24,24,48.03,106.95,48.03,106.95
40,19,41.24,69.3,29.31,47.96
17,1,31.9,35.98,34.49,69.17
37,17,39.91,32.79,31.9,35.98
36,2,-8.65,125.6,40.18,44.47
36,26,-8.65,125.6,27.72,85.32
30,23,25.22,51.5,4.14,73.46
31,6,24.58,46.71,27.48,89.54
9,30,39.92,116.33,25.22,51.5
7,26,4.88,114.85,27.72,85.32
32,18,1.29,103.86,51.17,71.34
13,31,-6.18,106.77,24.58,46.71
1,27,34.49,69.17,23.5,58.57
29,25,14.62,121,19.75,96.1
13,36,-6.18,106.77,-8.65,125.6
25,2,19.75,96.1,40.18,44.47
16,22,35.68,139.68,3.07,101.66
18,13,51.17,71.34,-6.18,106.77
39,14,24.44,54.39,33.37,44.37
40,42,41.24,69.3,15.4,44.19
12,40,28.66,77.13,41.24,69.3
21,34,33.8,35.52,38.6,68.79
16,29,35.68,139.68,14.62,121
37,1,39.91,32.79,34.49,69.17
36,41,-8.65,125.6,21.01,105.8
2,28,40.18,44.47,33.7,73.01
42,4,15.4,44.19,26.19,50.5
20,21,42.79,74.58,33.8,35.52
4,13,26.19,50.5,-6.18,106.77
12,18,28.66,77.13,51.17,71.34
41,9,21.01,105.8,39.92,116.33
11,41,41.68,44.8,21.01,105.8
15,22,31.23,34.78,3.07,101.66
11,34,41.68,44.8,38.6,68.79
11,11,41.68,44.8,41.68,44.8
34,2,38.6,68.79,40.18,44.47
11,2,41.68,44.8,40.18,44.47
23,23,4.14,73.46,4.14,73.46
37,15,39.91,32.79,31.23,34.78
17,39,31.9,35.98,24.44,54.39
17,25,31.9,35.98,19.75,96.1
8,43,11.56,104.9,#N/A,#N/A
12,23,28.66,77.13,4.14,73.46
35,16,13.72,100.58,35.68,139.68
39,24,24.44,54.39,48.03,106.95
32,22,1.29,103.86,3.07,101.66
34,33,38.6,68.79,6.9,79.91
6,33,27.48,89.54,6.9,79.91
27,24,23.5,58.57,48.03,106.95
29,34,14.62,121,38.6,68.79
23,37,4.14,73.46,39.91,32.79
10,15,35.17,33.33,31.23,34.78
4,18,26.19,50.5,51.17,71.34
5,38,23.8,90.44,37.92,58.41
9,2,39.92,116.33,40.18,44.47
1,34,34.49,69.17,38.6,68.79
32,21,1.29,103.86,33.8,35.52
31,6,24.58,46.71,27.48,89.54
31,15,24.58,46.71,31.23,34.78
14,8,33.37,44.37,11.56,104.9
22,2,3.07,101.66,40.18,44.47
19,25,29.31,47.96,19.75,96.1
4,41,26.19,50.5,21.01,105.8
31,30,24.58,46.71,25.22,51.5
3,15,40.41,49.95,31.23,34.78
7,8,4.88,114.85,11.56,104.9
42,26,15.4,44.19,27.72,85.32
24,19,48.03,106.95,29.31,47.96
8,19,11.56,104.9,29.31,47.96
38,6,37.92,58.41,27.48,89.54
35,9,13.72,100.58,39.92,116.33
16,25,35.68,139.68,19.75,96.1
24,30,48.03,106.95,25.22,51.5
18,13,51.17,71.34,-6.18,106.77
11,42,41.68,44.8,15.4,44.19
16,11,35.68,139.68,41.68,44.8
34,40,38.6,68.79,41.24,69.3
12,42,28.66,77.13,15.4,44.19
29,1,14.62,121,34.49,69.17
12,10,28.66,77.13,35.17,33.33
10,43,35.17,33.33,#N/A,#N/A
14,20,33.37,44.37,42.79,74.58
6,13,27.48,89.54,-6.18,106.77
25,9,19.75,96.1,39.92,116.33
33,4,6.9,79.91,26.19,50.5
41,32,21.01,105.8,1.29,103.86
40,7,41.24,69.3,4.88,114.85
21,2,33.8,35.52,40.18,44.47
1,38,34.49,69.17,37.92,58.41
32,33,1.29,103.86,6.9,79.91
27,29,23.5,58.57,14.62,121
39,41,24.44,54.39,21.01,105.8
28,30,33.7,73.01,25.22,51.5
42,39,15.4,44.19,24.44,54.39
35,27,13.72,100.58,23.5,58.57
5,34,23.8,90.44,38.6,68.79
11,3,41.68,44.8,40.41,49.95
26,8,27.72,85.32,11.56,104.9
14,15,33.37,44.37,31.23,34.78
19,36,29.31,47.96,-8.65,125.6
1,10,34.49,69.17,35.17,33.33
25,18,19.75,96.1,51.17,71.34
16,42,35.68,139.68,15.4,44.19
8,13,11.56,104.9,-6.18,106.77
37,36,39.91,32.79,-8.65,125.6
24,17,48.03,106.95,31.9,35.98
18,32,51.17,71.34,1.29,103.86
36,36,-8.65,125.6,-8.65,125.6
38,26,37.92,58.41,27.72,85.32
42,26,15.4,44.19,27.72,85.32
17,35,31.9,35.98,13.72,100.58
4,35,26.19,50.5,13.72,100.58
24,42,48.03,106.95,15.4,44.19
20,30,42.79,74.58,25.22,51.5
24,15,48.03,106.95,31.23,34.78
13,43,-6.18,106.77,#N/A,#N/A
32,39,1.29,103.86,24.44,54.39
30,17,25.22,51.5,31.9,35.98
39,9,24.44,54.39,39.92,116.33
40,27,41.24,69.3,23.5,58.57
4,32,26.19,50.5,1.29,103.86
4,26,26.19,50.5,27.72,85.32
18,21,51.17,71.34,33.8,35.52
19,6,29.31,47.96,27.48,89.54
25,9,19.75,96.1,39.92,116.33
9,23,39.92,116.33,4.14,73.46
38,13,37.92,58.41,-6.18,106.77
5,7,23.8,90.44,4.88,114.85
2,36,40.18,44.47,-8.65,125.6
32,39,1.29,103.86,24.44,54.39
16,10,35.68,139.68,35.17,33.33
39,5,24.44,54.39,23.8,90.44
11,40,41.68,44.8,41.24,69.3
29,1,14.62,121,34.49,69.17
40,27,41.24,69.3,23.5,58.57
16,2,35.68,139.68,40.18,44.47
12,2,28.66,77.13,40.18,44.47
6,40,27.48,89.54,41.24,69.3
10,43,35.17,33.33,#N/A,#N/A
15,15,31.23,34.78,31.23,34.78
39,3,24.44,54.39,40.41,49.95
39,30,24.44,54.39,25.22,51.5
32,16,1.29,103.86,35.68,139.68
34,5,38.6,68.79,23.8,90.44
24,40,48.03,106.95,41.24,69.3
3,5,40.41,49.95,23.8,90.44
38,7,37.92,58.41,4.88,114.85
13,8,-6.18,106.77,11.56,104.9
4,27,26.19,50.5,23.5,58.57
39,35,24.44,54.39,13.72,100.58
3,18,40.41,49.95,51.17,71.34
21,38,33.8,35.52,37.92,58.41
39,15,24.44,54.39,31.23,34.78
15,14,31.23,34.78,33.37,44.37
16,36,35.68,139.68,-8.65,125.6
39,5,24.44,54.39,23.8,90.44
32,43,1.29,103.86,#N/A,#N/A
32,33,1.29,103.86,6.9,79.91
41,6,21.01,105.8,27.48,89.54
8,22,11.56,104.9,3.07,101.66
26,9,27.72,85.32,39.92,116.33
26,10,27.72,85.32,35.17,33.33
37,5,39.91,32.79,23.8,90.44
28,43,33.7,73.01,#N/A,#N/A
10,27,35.17,33.33,23.5,58.57
14,27,33.37,44.37,23.5,58.57
24,9,48.03,106.95,39.92,116.33
28,31,33.7,73.01,24.58,46.71
38,6,37.92,58.41,27.48,89.54
37,16,39.91,32.79,35.68,139.68
33,35,6.9,79.91,13.72,100.58
42,34,15.4,44.19,38.6,68.79
37,37,39.91,32.79,39.91,32.79
12,41,28.66,77.13,21.01,105.8
21,27,33.8,35.52,23.5,58.57
23,32,4.14,73.46,1.29,103.86
41,26,21.01,105.8,27.72,85.32
3,18,40.41,49.95,51.17,71.34
27,23,23.5,58.57,4.14,73.46
26,2,27.72,85.32,40.18,44.47
32,38,1.29,103.86,37.92,58.41
28,30,33.7,73.01,25.22,51.5
33,35,6.9,79.91,13.72,100.58
36,21,-8.65,125.6,33.8,35.52
28,9,33.7,73.01,39.92,116.33
5,10,23.8,90.44,35.17,33.33
15,19,31.23,34.78,29.31,47.96
26,13,27.72,85.32,-6.18,106.77
8,43,11.56,104.9,#N/A,#N/A
31,6,24.58,46.71,27.48,89.54
21,6,33.8,35.52,27.48,89.54
27,12,23.5,58.57,28.66,77.13
22,43,3.07,101.66,#N/A,#N/A
1,41,34.49,69.17,21.01,105.8
41,18,21.01,105.8,51.17,71.34
21,10,33.8,35.52,35.17,33.33
12,43,28.66,77.13,#N/A,#N/A
20,19,42.79,74.58,29.31,47.96
26,28,27.72,85.32,33.7,73.01
3,39,40.41,49.95,24.44,54.39
24,43,48.03,106.95,#N/A,#N/A
14,12,33.37,44.37,28.66,77.13
20,7,42.79,74.58,4.88,114.85
26,9,27.72,85.32,39.92,116.33
18,42,51.17,71.34,15.4,44.19
20,7,42.79,74.58,4.88,114.85
29,16,14.62,121,35.68,139.68
40,37,41.24,69.3,39.91,32.79
20,13,42.79,74.58,-6.18,106.77
27,42,23.5,58.57,15.4,44.19
16,28,35.68,139.68,33.7,73.01
32,6,1.29,103.86,27.48,89.54
12,28,28.66,77.13,33.7,73.01
38,37,37.92,58.41,39.91,32.79
8,30,11.56,104.9,25.22,51.5
41,20,21.01,105.8,42.79,74.58
31,33,24.58,46.71,6.9,79.91
38,20,37.92,58.41,42.79,74.58
10,33,35.17,33.33,6.9,79.91
16,26,35.68,139.68,27.72,85.32
39,20,24.44,54.39,42.79,74.58
23,8,4.14,73.46,11.56,104.9
34,16,38.6,68.79,35.68,139.68
3,40,40.41,49.95,41.24,69.3
3,22,40.41,49.95,3.07,101.66
14,30,33.37,44.37,25.22,51.5
13,11,-6.18,106.77,41.68,44.8
18,8,51.17,71.34,11.56,104.9
1,42,34.49,69.17,15.4,44.19
36,23,-8.65,125.6,4.14,73.46
33,32,6.9,79.91,1.29,103.86
41,19,21.01,105.8,29.31,47.96
33,39,6.9,79.91,24.44,54.39
20,7,42.79,74.58,4.88,114.85
25,17,19.75,96.1,31.9,35.98
25,38,19.75,96.1,37.92,58.41
6,36,27.48,89.54,-8.65,125.6
8,33,11.56,104.9,6.9,79.91
40,15,41.24,69.3,31.23,34.78
18,25,51.17,71.34,19.75,96.1
8,39,11.56,104.9,24.44,54.39
34,38,38.6,68.79,37.92,58.41
8,7,11.56,104.9,4.88,114.85
35,7,13.72,100.58,4.88,114.85
9,28,39.92,116.33,33.7,73.01
2,15,40.18,44.47,31.23,34.78
13,31,-6.18,106.77,24.58,46.71
31,12,24.58,46.71,28.66,77.13
37,21,39.91,32.79,33.8,35.52
29,12,14.62,121,28.66,77.13
16,3,35.68,139.68,40.41,49.95
1,24,34.49,69.17,48.03,106.95
3,16,40.41,49.95,35.68,139.68
29,35,14.62,121,13.72,100.58
24,7,48.03,106.95,4.88,114.85
30,12,25.22,51.5,28.66,77.13
7,32,4.88,114.85,1.29,103.86
39,35,24.44,54.39,13.72,100.58
